ad_group_id,campaign_id,ad_group_name,audience_id,channel,bid_strategy,avg_bid,weekly_budget_allocated,weekly_budget_spent,impressions,clicks,conversions,conversion_value,ctr,cvr,roas,week
1,1,AG_1_1,AUD6,Social,Manual CPC,17.67,419353.66,403121.71,2799176,45396,2607,22338898.04,0.0162,0.0574,55.415,1
2,1,AG_1_2,AUD7,Social,tROAS,15.5,324381.13,338429.92,2010691,37335,2140,25038524.82,0.0186,0.0573,73.984,1
3,1,AG_1_3,AUD1,Social,Max Conversions,10.61,327945.7,316777.91,2178948,38822,2119,20470652.93,0.0178,0.0546,64.621,1
4,1,AG_1_4,AUD5,Social,tROAS,16.14,277533.26,242238.8,1215727,21596,1413,11306635.64,0.0178,0.0654,46.676,1
5,1,AG_1_5,AUD10,Social,Max Conversions,11.51,357493.76,350217.58,2950516,57584,3536,62041451.24,0.0195,0.0614,177.151,1
6,2,AG_2_1,AUD4,Search,tROAS,18.46,207317.43,197998.86,1226330,24572,1908,28154854.59,0.02,0.0777,142.197,1
7,2,AG_2_2,AUD2,Search,Manual CPC,27.64,198901.11,171395.68,771862,17318,1464,16769839.7,0.0224,0.0846,97.843,1
8,2,AG_2_3,AUD4,Search,tROAS,28.44,249289.43,245719.2,988343,19286,1728,23472328.0,0.0195,0.0896,95.525,1
9,2,AG_2_4,AUD4,Search,Max Conversions,27.5,262536.85,250652.51,1256434,26252,2056,22924613.26,0.0209,0.0783,91.46,1
10,2,AG_2_5,AUD8,Search,tROAS,26.66,289064.68,261723.17,886972,19913,1815,17735336.45,0.0225,0.0912,67.764,1
11,3,AG_3_1,AUD7,Video,Max Conversions,13.07,528501.1,498854.16,2396877,14449,835,7925325.9,0.006,0.0578,15.887,1
12,3,AG_3_2,AUD6,Video,tROAS,9.43,579870.17,502878.73,1545829,9570,506,7306420.29,0.0062,0.0529,14.529,1
13,3,AG_3_3,AUD2,Video,Max Conversions,9.97,336875.72,299097.37,1328681,9599,548,5462945.54,0.0072,0.0572,18.265,1
14,3,AG_3_4,AUD7,Video,Max Conversions,6.13,375899.01,357370.72,2185490,15876,844,10511062.28,0.0073,0.0532,29.412,1
15,3,AG_3_5,AUD10,Video,Max Conversions,12.87,472655.84,422600.42,1579490,9890,483,6783055.51,0.0063,0.0489,16.051,1
16,4,AG_4_1,AUD6,Display,tROAS,9.19,420304.89,388681.84,2834000,45486,3927,41004226.37,0.0161,0.0864,105.496,1
17,4,AG_4_2,AUD7,Display,Max Conversions,5.5,412094.47,390112.88,3900692,62639,5164,44515818.77,0.0161,0.0825,114.11,1
18,4,AG_4_3,AUD6,Display,tROAS,10.76,414388.29,434658.68,4394294,70083,6254,98676315.23,0.0159,0.0892,227.02,1
19,4,AG_4_4,AUD1,Display,Manual CPC,6.19,419851.48,411082.64,5382181,99395,7853,68885536.75,0.0185,0.079,167.571,1
20,4,AG_4_5,AUD2,Display,Manual CPC,5.33,486817.61,487475.61,3564108,56172,4802,73412314.39,0.0158,0.0855,150.597,1
21,5,AG_5_1,AUD4,Display,Max Conversions,9.06,241164.71,213183.46,2455725,35193,4223,61359046.49,0.0143,0.12,287.823,1
22,5,AG_5_2,AUD9,Display,tROAS,6.66,172166.45,149730.55,1039025,14785,1774,21166430.08,0.0142,0.12,141.363,1
23,5,AG_5_3,AUD9,Display,Max Conversions,8.06,154599.21,150503.23,1619791,20332,2439,38576018.09,0.0126,0.12,256.314,1
24,5,AG_5_4,AUD7,Display,tROAS,9.42,237691.6,242148.56,2445084,36343,4361,56251251.49,0.0149,0.12,232.301,1
25,5,AG_5_5,AUD4,Display,tROAS,8.65,232790.59,198648.4,2253272,29267,3512,41164861.96,0.013,0.12,207.225,1
26,6,AG_6_1,AUD6,Video,Manual CPC,10.68,640195.01,551799.1,1794648,14513,836,10054902.09,0.0081,0.0576,18.222,1
27,6,AG_6_2,AUD5,Video,tROAS,9.91,371764.51,363050.54,1323254,9820,586,8038685.39,0.0074,0.0597,22.142,1
28,6,AG_6_3,AUD7,Video,tROAS,11.34,681797.23,607933.41,2928166,24008,1347,15595717.53,0.0082,0.0561,25.654,1
29,6,AG_6_4,AUD7,Video,Max Conversions,8.29,433157.12,425005.39,2251878,17503,912,14842788.52,0.0078,0.0521,34.924,1
30,6,AG_6_5,AUD1,Video,Max Conversions,11.49,611527.74,588765.81,3139546,26173,1581,24268748.19,0.0083,0.0604,41.22,1
31,7,AG_7_1,AUD9,Video,tROAS,10.47,92372.95,83345.02,372790,5233,466,3758123.91,0.014,0.0892,45.091,1
32,7,AG_7_2,AUD1,Video,Manual CPC,6.28,100850.46,87564.6,389713,5050,477,4106502.22,0.013,0.0945,46.897,1
33,7,AG_7_3,AUD2,Video,Max Conversions,11.29,110077.55,96326.12,512595,6853,637,5871199.1,0.0134,0.093,60.951,1
34,7,AG_7_4,AUD8,Video,Max Conversions,7.63,130638.28,132164.0,472218,6287,565,5450105.9,0.0133,0.0899,41.237,1
35,7,AG_7_5,AUD10,Video,Manual CPC,6.79,101182.04,92205.48,365690,5044,480,4231559.64,0.0138,0.0953,45.893,1
36,8,AG_8_1,AUD9,Social,Max Conversions,18.63,463739.8,460484.31,2337192,49265,5911,70190246.1,0.0211,0.12,152.427,1
37,8,AG_8_2,AUD4,Social,tROAS,18.86,342421.11,309274.59,2040900,46088,5530,88906795.44,0.0226,0.12,287.469,1
38,8,AG_8_3,AUD3,Social,tROAS,12.56,520527.76,517420.99,3743352,73855,8862,150422322.28,0.0197,0.12,290.716,1
39,8,AG_8_4,AUD6,Social,tROAS,15.12,496796.12,424722.72,2962914,62406,7488,62920836.26,0.0211,0.12,148.146,1
40,8,AG_8_5,AUD9,Social,Max Conversions,17.66,372083.29,331875.24,1569170,36984,4438,70204318.72,0.0236,0.12,211.538,1
41,9,AG_9_1,AUD3,Social,Max Conversions,17.26,360111.77,329758.53,2461733,63977,7677,109936114.63,0.026,0.12,333.384,1
42,9,AG_9_2,AUD8,Social,Max Conversions,11.99,407792.23,381486.9,2168827,48805,5856,62610101.6,0.0225,0.12,164.121,1
43,9,AG_9_3,AUD1,Social,Max Conversions,10.26,560384.65,565434.62,3907675,86280,10353,149245593.71,0.0221,0.12,263.948,1
44,9,AG_9_4,AUD7,Social,tROAS,13.02,333504.44,315906.99,2291950,52499,6299,105539030.09,0.0229,0.12,334.083,1
45,9,AG_9_5,AUD8,Social,Manual CPC,15.01,569908.5,571578.45,4405862,114080,13689,154907030.47,0.0259,0.12,271.016,1
46,10,AG_10_1,AUD6,Video,tROAS,6.76,411599.41,369910.25,1652865,24343,2722,33900047.16,0.0147,0.1118,91.644,1
47,10,AG_10_2,AUD8,Video,Max Conversions,12.35,549118.04,549318.49,1926806,29201,3504,32646309.1,0.0152,0.12,59.431,1
48,10,AG_10_3,AUD7,Video,tROAS,13.64,554034.35,498887.4,1440738,20658,2478,31606288.22,0.0143,0.12,63.354,1
49,10,AG_10_4,AUD5,Video,Manual CPC,10.15,391499.23,398267.64,1463193,24053,2886,40528472.67,0.0164,0.12,101.762,1
50,10,AG_10_5,AUD8,Video,tROAS,7.28,650869.98,674625.29,1967894,30790,3694,63617769.82,0.0156,0.12,94.301,1
51,11,AG_11_1,AUD3,Social,Manual CPC,12.33,360514.2,350564.62,2246380,33146,3406,56624631.04,0.0148,0.1028,161.524,1
52,11,AG_11_2,AUD2,Social,Max Conversions,12.22,508076.06,519607.82,4272647,70103,8162,139693831.93,0.0164,0.1164,268.845,1
53,11,AG_11_3,AUD6,Social,tROAS,15.08,429690.75,395933.58,2574720,41064,4680,61098373.05,0.0159,0.114,154.315,1
54,11,AG_11_4,AUD6,Social,tROAS,14.11,337609.67,313757.89,1856025,32169,3428,43466370.25,0.0173,0.1066,138.535,1
55,11,AG_11_5,AUD2,Social,tROAS,15.13,377505.46,382809.66,2037086,32604,3285,50986955.83,0.016,0.1008,133.191,1
56,12,AG_12_1,AUD10,Display,tROAS,8.35,170058.59,155146.89,1061006,7963,435,5962812.44,0.0075,0.0547,38.433,1
57,12,AG_12_2,AUD2,Display,Max Conversions,5.47,120437.89,102377.68,759588,6639,347,3193661.61,0.0087,0.0524,31.195,1
